,g
2025-11-13,-0.08368081063303895
2025-11-14,-0.12547126478552048
2025-11-17,-0.12315902945350116
2025-11-18,-0.053833323953126545
2025-11-19,-0.07333727166998454
2025-11-20,-0.0446299207668618
2025-11-21,-0.01518690594910202
2025-11-24,-0.02579395512798098
2025-11-25,-0.0308962447996447
2025-11-26,-0.017372662841238423
2025-11-28,-0.015597145541011381
2025-12-01,-0.008457214056959567
2025-12-02,-0.04370063078953765
2025-12-03,-0.06750591461910355
2025-12-04,-0.02575407830421056
2025-12-05,-0.035057643922275866
2025-12-08,-0.08142871572569646
2025-12-09,-0.09424501247816047
2025-12-10,-0.11806806990359839
2025-12-11,-0.04899822597055403
2025-12-12,-0.08855501378473418
2025-12-15,-0.057208416913423515
2025-12-16,-0.021019284240909486
2025-12-17,-0.058372724570935605
2025-12-18,-0.03451492854184657
2025-12-19,-0.05352283713508757
2025-12-22,-0.0254596597196117
2025-12-23,-0.06520590683523131
2025-12-24,-0.026988476683319995
2025-12-26,-0.02462126942944637
2025-12-29,-0.010961763191431884
2025-12-30,-0.021869163981858786
2025-12-31,-0.02608671580820643
2026-01-02,-0.061168221488972385
2026-01-05,-0.02942606712327714
2026-01-06,0.0014898453232408126
2026-01-07,-0.01627094776639293
2026-01-08,-0.02816904434383853
2026-01-09,-0.027802802258056106
2026-01-12,0.014537962482496523
2026-01-13,0.03472727046765635
2026-01-14,0.02302278539906763
2026-01-15,0.009197669832571538
2026-01-16,0.06163129906960123
2026-01-20,0.0953791192432644
2026-01-21,0.1413895514345039
2026-01-22,0.036561424259321046
2026-01-23,0.05825336512192731
2026-01-26,0.06462937503531797
2026-01-27,0.04646433032226014
2026-01-28,0.038178107936653716
2026-01-29,0.033550224467528714
2026-01-30,0.06017078642723709
2026-02-02,0.062443388621455445
2026-02-03,0.06042649638142724
2026-02-04,0.1015967440968703
2026-02-05,0.04212527002222738
2026-02-06,0.03561534561222526
2026-02-09,0.058942281874424074
2026-02-10,-0.0432457455614817
2026-02-11,0.015494852953767069
