,g_control
2025-05-13,-0.053886208642479894
2025-05-14,-0.09452473897583308
2025-05-15,-0.08791286504110107
2025-05-16,-0.033983745574237
2025-05-19,-0.13152022721414702
2025-05-20,-0.1613282108850352
2025-05-21,-0.09054180757001218
2025-05-22,-0.13896306612154988
2025-05-23,-0.11452402891716806
2025-05-27,-0.06649079645330103
2025-05-28,-0.034588139989363276
2025-05-29,-0.12435592824086183
2025-05-30,-0.0642508337023101
2025-06-02,-0.17886860660571127
2025-06-03,-0.034467417379876075
2025-06-04,-0.09388324742460236
2025-06-05,-0.11775096931316387
2025-06-06,0.006096865466977408
2025-06-09,7.724416229037967e-05
2025-06-10,-0.11386971601706183
2025-06-11,-0.10640790913016335
2025-06-12,-0.12285183855554002
2025-06-13,-0.14788837176847325
2025-06-16,-0.12450064457549315
2025-06-17,-0.08062771176793426
2025-06-18,-0.04332511740187825
2025-06-20,-0.11904799089401832
2025-06-23,-0.07743480085893018
2025-06-24,-0.031246043949617885
2025-06-25,-0.0026143061662765588
2025-06-26,-0.15561140000224363
2025-06-27,0.04258999343916697
2025-06-30,-0.09356413004599118
2025-07-01,-0.17178204535476604
2025-07-02,-0.010370628687998928
2025-07-03,-0.058262008740299326
2025-07-07,-0.1343675350273643
2025-07-08,0.013791485645738816
2025-07-09,-0.09682441551280246
2025-07-10,-0.012399835470319809
2025-07-11,-0.12542905460729625
2025-07-14,-0.072445270672228
2025-07-15,-0.024076722950999718
2025-07-16,-0.2025641466685929
2025-07-17,-0.14816566642050055
2025-07-18,-0.14189090182393937
2025-07-21,0.009444829826938339
2025-07-22,-0.1672738568547142
2025-07-23,-0.1037996110719086
2025-07-24,-0.04948612916034173
2025-07-25,-0.03849748542347753
2025-07-28,-0.04179459661000601
2025-07-29,-0.024295537856517363
2025-07-30,-0.1082335994473049
2025-07-31,-0.08185896196745396
2025-08-01,-0.1107436967769797
2025-08-04,-0.09697769075287749
2025-08-05,-0.1539183648192039
2025-08-06,-0.009242936196375673
2025-08-07,-0.22068884849951148
2025-08-08,-0.08743118330696825
2025-08-11,-0.0752138650557167
2025-08-12,-0.10995240368576781
2025-08-13,-0.1206213366814989
2025-08-14,-0.004609898549186475
2025-08-15,-0.1649079041797497
2025-08-18,0.026331143488289438
2025-08-19,-0.02694296980311922
2025-08-20,-0.017967087680256177
2025-08-21,0.03621836081068172
2025-08-22,0.008025128608887516
2025-08-25,0.02682333216322008
2025-08-26,-0.007303404829366006
2025-08-27,0.10022456528693575
2025-08-28,0.04415871385311657
2025-08-29,-0.0008240598945087642
2025-09-02,0.0170842853091348
2025-09-03,0.04465949361931933
2025-09-04,0.06850783987713255
2025-09-05,0.10237622666683616
2025-09-08,0.005726430709672648
2025-09-09,0.0100222010742968
2025-09-10,0.02795036394482214
2025-09-11,0.07223096676211008
2025-09-12,0.0008975907043550779
2025-09-15,0.03669529193635539
2025-09-16,-0.014764157186007487
2025-09-17,0.041361132112031476
2025-09-18,-0.05269335267021846
2025-09-19,0.05781004573401921
2025-09-22,0.10302690395637731
2025-09-23,-0.04101134770402957
2025-09-24,0.0634395235427244
2025-09-25,-0.010267162225617354
2025-09-26,0.039308049123085206
2025-09-29,0.045313157601584594
2025-09-30,0.16964750307657223
2025-10-01,-0.06006543418030798
2025-10-02,0.07731671082806223
2025-10-03,0.06398437354329056
2025-10-06,0.06334217601344563
2025-10-07,0.07171385442780792
2025-10-08,0.04460895488595981
2025-10-09,-0.07578191859095085
2025-10-10,-0.005515931455525119
2025-10-13,-0.04415881079997582
2025-10-14,0.11022258340830288
2025-10-15,0.060023073462065445
2025-10-16,0.06656162355992992
2025-10-17,0.12723282149074994
2025-10-20,0.0747996157429376
2025-10-21,-0.04589674873868756
2025-10-22,0.06407918555164892
2025-10-23,0.04795334286902331
2025-10-24,0.054205188270019494
2025-10-27,-0.021998949360988083
2025-10-28,0.11948620845630538
2025-10-29,0.12449552209793308
2025-10-30,-0.038329915266574685
2025-10-31,-0.0015634321267836509
2025-11-03,0.048962490649911705
2025-11-04,0.024678522111999297
2025-11-05,0.07237908437393345
2025-11-06,0.03654140149950513
2025-11-07,0.10235435462668005
2025-11-10,0.07294311184781868
2025-11-11,0.008098844478228166
2025-11-12,0.11052783852450397
2025-11-13,-0.017694110083811238
2025-11-14,0.05379175870656165
2025-11-17,0.11258936503902832
2025-11-18,-0.017841838668751775
2025-11-19,0.0730335085476009
2025-11-20,0.028489144080845602
2025-11-21,0.04953785698286469
2025-11-24,0.0935345255478182
2025-11-25,0.16773266233469103
2025-11-26,0.06448429950197075
2025-11-28,0.06943342992930973
2025-12-01,0.025162512926170374
2025-12-02,0.1272739243868307
2025-12-03,0.18532158117697917
2025-12-04,0.04460488927544247
2025-12-05,0.0505750170851354
2025-12-08,0.09575406323259698
2025-12-09,0.23434372267752818
2025-12-10,-0.08374506404879956
2025-12-11,-0.031412152607213
2025-12-12,0.1063172200547926
2025-12-15,0.14182537714252588
2025-12-16,0.0835713390133077
2025-12-17,0.1563038698385752
2025-12-18,0.05936651616701899
2025-12-19,-0.016577144255282256
2025-12-22,0.17213601064871276
2025-12-23,-0.01978805636664621
2025-12-24,0.05685905726662119
2025-12-26,0.14798927967812395
2025-12-29,0.0482201955918269
2025-12-30,0.008992105302888881
2025-12-31,-0.029363402956138096
2026-01-02,0.14453164618622055
2026-01-05,0.050917097652440346
2026-01-06,0.017337366096530124
2026-01-07,-0.04384821104117706
2026-01-08,0.0620135431332218
2026-01-09,0.08230170696773331
2026-01-12,0.0400349217939279
2026-01-13,-0.011304182245616856
2026-01-14,0.17119797602823328
2026-01-15,-0.013353518654391619
2026-01-16,0.16086701774459455
2026-01-20,-0.05513893438205511
2026-01-21,0.18051612794883015
2026-01-22,0.09066419147608654
2026-01-23,-0.05937205341546399
2026-01-26,0.05720483658219989
2026-01-27,0.02431091951745723
2026-01-28,-0.014281466515716351
2026-01-29,0.08122153972440307
2026-01-30,-0.10932964109054852
2026-02-02,-0.024200476613804322
2026-02-03,-0.07935960517338415
2026-02-04,-0.020387206382029677
2026-02-05,-0.011587661793112214
2026-02-06,-0.10814004730884225
2026-02-09,0.03408517366461539
2026-02-10,-0.013486298486078518
2026-02-11,-0.08040485505222977
